lat,lon
-24.10846082,-47.26622382
-23.0612212,-46.9937436
-22.94407215,-47.26472768
-23.40910267,-47.38525164
-23.21475727,-47.27032092
-23.51224094,-46.67504907
-20.29349096,-49.25955348
-20.29349096,-49.25955348
-20.29349096,-49.25955348
-22.40368527,-48.4630174
-23.33446403,-45.93463793
-21.81014816,-48.18474512
-23.60609474,-46.44300956
-23.96792586,-46.35151141
-23.44232077,-46.79622336
-23.69330713,-46.44815947
-22.741915,-46.75906611
-23.03877559,-47.13501258
-22.743296,-48.59620057
-21.2080733,-48.99942343
-21.2080733,-48.99942343
-24.33449984,-47.59691722
-22.25737601,-50.75787636
-22.25737601,-50.75787636
-22.25737601,-50.75787636
-22.25737601,-50.75787636
-22.25737601,-50.75787636
-23.58344777,-45.45773506
-23.4986729,-46.5601621
-23.49476454,-46.8723748
-23.66362785,-46.71013529
-23.04866978,-49.16050629
-23.15652512,-48.37726613
-23.07316987,-46.69201358
-23.54162639,-46.81847413
-22.46913536,-46.6031807
-23.12832396,-45.71654531
-23.72786771,-46.54944519
-22.82409764,-50.75542528
-22.47286711,-47.49867998
-21.33999734,-51.83529933
-21.8640217,-47.49139131
-23.30565451,-46.83743849
-23.75429875,-46.03968815
-23.468802,-46.50988524
-22.82337746,-47.07831172
-23.45158244,-46.89948886
-23.4181023,-46.37791153
-23.41527039,-46.36811342
-21.45744638,-47.02374197
-21.45744638,-47.02374197
-23.34270139,-46.81713297
-23.20259651,-45.37395626
-23.22153147,-45.31238351
-24.28719195,-47.45394954
-23.93671328,-47.08109413
-23.49058339,-46.80873498
-22.45068673,-50.59745203
-22.90820093,-48.45620523
-22.68441382,-47.68166307
-23.65278414,-46.63390165
-22.1202573,-47.8135185
-22.02895777,-51.32372093
-23.08787708,-47.20265068
-21.16320135,-47.94508505
-21.99029356,-46.8145133
-21.20728485,-50.6501138
-21.99605046,-47.91990734
-20.5226029,-47.36327785
-23.89660701,-46.50622971
-23.89660701,-46.50622971
-20.07839698,-47.42895641
-22.70769664,-47.14355945
-24.18388489,-48.54204359
-22.95374993,-48.43433567
-23.72977706,-46.54800123
-23.13541158,-46.93357734
-23.61874008,-46.46979055
-23.08051313,-47.02474443
-23.79273966,-46.04515204
-21.8366177,-47.48681827
-22.4504702,-46.9825705
-23.17251702,-46.94748201
-23.17251702,-46.94748201
-22.61486019,-47.00703682
-22.61486019,-47.00703682
-23.61864409,-46.76073761
-22.82970917,-47.1672097
-23.20919296,-46.72920756
-21.26938323,-48.32174466
-23.38816192,-47.34048234
-22.74351111,-47.33180805
-22.74351111,-47.33180805
-23.50730957,-46.7107582
-22.91281253,-47.27756546
-22.84948368,-47.10297213
-22.95739456,-47.12539881
-23.60877402,-46.75816585
-23.75885026,-47.47385538
-21.29046065,-48.23736457
-23.51184709,-46.57651582
-23.38816192,-47.34048234
-22.74351111,-47.33180805
-22.74351111,-47.33180805
-23.50730957,-46.7107582
-22.91281253,-47.27756546
-22.84948368,-47.10297213
-22.95739456,-47.12539881
-23.60877402,-46.75816585
-23.75885026,-47.47385538
-21.29046065,-48.23736457
-23.51184709,-46.57651582
-23.5840715,-46.5993794
-23.76539394,-46.83774134
-23.21644038,-49.38589317
-21.03935765,-49.69468784
-23.51475743,-47.5786025
-24.38132869,-47.51162251
-24.49540128,-48.84460097
-22.17857808,-51.09826226
-22.92637711,-47.06585599
-23.47937705,-47.20365214
-23.13521091,-46.91660454
-22.94158165,-45.46257034
-22.78448622,-47.35952673
-22.82608418,-46.76349949
-23.06183856,-47.00218558
-22.843521,-49.56891573
-22.67127141,-47.77278359
-23.46086432,-46.34350904
-23.88877157,-47.50461964
-23.17318365,-46.21636298
-20.77182225,-49.22196745
-23.10895143,-46.49880995
-22.8967395,-47.50757791
-23.541418,-47.48682794
-23.91329802,-46.98957677
-22.34076731,-50.56191424
-19.87659129,-50.39663116
-21.14266324,-49.00834074
-23.21843349,-46.87089954
-23.21814349,-45.79822853
-23.43907155,-46.57987939
-23.53529541,-46.64066468
-23.33293189,-46.24092665
-21.07188999,-48.40720698
-21.62615167,-49.72666195
-22.75696143,-47.25444304
-22.92224208,-46.96668019
-23.53620691,-46.75630279
-23.49933865,-46.536959
-23.49933865,-46.536959
-20.7447542,-49.11123919
-22.5497716,-50.53215263
-20.51252915,-47.41395449
-22.28079032,-51.50247851
-23.54002238,-46.46425753
-23.64345672,-46.8089022
-23.55841484,-46.74680509
-23.41394441,-46.45373367
-23.75605728,-45.80750174
-24.77257601,-48.17075712
-23.17258661,-46.93637821
-23.48685402,-46.73708674
-23.5089854,-46.55296557
-21.08749754,-49.77965348
-23.59955342,-46.89669036
-20.81666447,-47.7175776
-23.51711472,-47.43194236
-21.10524686,-48.95017238
-21.37102967,-49.79188384
-21.37659207,-51.58100408
-23.63766331,-46.39333663
-23.6387816,-46.8091222
-23.59995278,-46.6005571
-23.44762621,-46.5783688
-23.75119701,-46.69858264
-22.36224906,-47.3272451
-23.56501392,-47.1620135
-22.88553176,-47.15663771
-23.3284805,-46.0254716
-23.47034965,-46.8940683
-23.44429423,-46.78696475
-22.76294971,-47.18292137
-23.75157121,-46.71046146
-22.91867165,-46.53644257
-23.46605974,-46.58408124
-23.84346869,-46.93382744
-23.51852273,-46.94034617
-23.3086884,-46.43861537
-23.82086139,-46.8440145
-23.53955787,-46.64142149
-23.3671796,-47.46702692
-22.67585515,-47.31090529
-23.52588477,-47.51957956
-23.45386526,-46.71238709
-23.25876152,-47.05334813
-23.42739637,-47.36181592
-22.8042827,-45.1719356
-23.85959052,-46.82779582
