id,lat,lon,name,address,capacity
1,-23.5668309564,-46.6937412023,1 - Largo da Batata,Av. Brigadeiro Faria Lima,55
3,-23.5664776215,-46.7012582819,3 - CPTM Pinheiros,R. Gilberto Sabino,15
4,-23.5691446194,-46.6920025786,4 - Rua Diogo Moreira,Rua Diogo Moreira,23
5,-23.5698942495,-46.6978971887,5 - Rua Butantã,Travessa da R. Butantã,15
6,-23.5721366374,-46.6901067804,6 - Rua Manduri,Rua Manduri,19
7,-23.5725441757,-46.6936810045,7 - Praça Joaquim Roberto,Av. Rebouças,19
9,-23.5756108964,-46.6873608611,9 - R. Grécia,R. Grécia,23
10,-23.575527706,-46.6907136107,10 - Rua Campo Verde,Rua Campo Verde,15
11,-23.5655687544,-46.6942387103,11 - Praça Faria Lima,Rua Cardeal Arcoverde / esquina com Av. Brigadeiro Faria Lima,19
12,-23.5661641537,-46.6939591666,12 - Largo de Batata II,Largo de Batata II,65
13,-23.5795958801,-46.6906372471,13 - Esporte Clube Pinheiros Funcionários,R. Angelina Maffei Vita,23
14,-23.580880233,-46.6847086016,14 - Casa Brasileira,Casa Brasileira,17
15,-23.5824196172,-46.6870353144,15 - Rua Prof. Artur Ramos,Rua Professor Artur Ramos,19
16,-23.5823017032,-46.6912872948,16 - Esporte Clube Pinheiros Boliche,R. Hans Nobiling,19
17,-23.5843221298,-46.6829077712,17 - Rua José Gonçalves de Oliveira,R. José Gonçalves de Oliveira,23
18,-23.586695721,-46.6839182197,18 - Itaú Faria Lima,18 - Itaú Faria Lima,23
19,-23.5957237516,-46.6907050831,19 - Av. Dr. Cardoso de Melo,R. Funchal,15
20,-23.585020293,-46.6904367894,20 - CPTM Cidade Jardim,20 - CPTM Cidade Jardim,19
21,-23.5890444167,-46.6882179129,21 - Parque do Povo portão 1,Av. Henrique Chamma,23
22,-23.5892048894,-46.6839228126,22 - Rua Leopoldo Couto,Rua Leopoldo Couto de Magalhães Junior,15
23,-23.5939175701,-46.6912681159,23 - CPTM Vila Olímpia,Rua Gomes de Carvalho,47
24,-23.592664614,-46.6880574172,24 - Rua Funchal,Rua Funchal,23
25,-23.59276255,-46.6844661081,25 - Rua Helena,Rua Helena,23
26,-23.5954418983,-46.683199943,26 - Praça Pierre Germayel,26 - Praça Pierre Germayel,23
27,-23.5924297095,-46.6811213477,27 - Rua Min. Jesuíno Cardoso,Rua Ministro Jesuíno Cardoso,43
28,-23.5933504144,-46.6770266849,28 - Rua Comendador Miguel Calfat,Rua Comendador Miguel Calfat,15
29,-23.5903425804,-46.6783454354,29 - Rua João Franco,Rua João Franco,15
30,-23.5902983609,-46.673776506,30 - Bandeira Paulista,Rua Bandeira Paulista em frente ao número 1237 / esquina com Rua Dr. Alceu de Campos Rodrigues,19
31,-23.5916323121,-46.6713637578,31 - Jacques Felix,Jacques Felix,11
32,-23.5904191029,-46.665915544,32 - Pq. Ibirapuera Portão 07,Pq. Ibirapuera Portão 07,11
33,-23.5880294813,-46.6654595025,33 - Pq. Ibirapuera Portão 08,33 - Pq. Ibirapuera Portão 08,11
34,-23.5885076055,-46.6681464248,34 - Rua Bastos Pereira,34 - Rua Bastos Pereira,11
35,-23.58728803,-46.6730159472,35 - Rua Benedito Lapin,Rua Benedito Lapin em frente ao número 81 / esquina com Rua Dr. Renato Paes de Barros,23
36,-23.5867932793,-46.6760816781,36 - E.E. Aristides de Castro,Rua Urussuí,23
37,-23.5876426356,-46.6791253559,37 - Edifício Infinity,37 - Edifício Infinity,23
38,-23.5852228977,-46.6801605529,38 - Viradouro,Rua Viradouro,19
40,-23.5836480572,-46.672067696,40 - Brasília,Rua Brasília,11
41,-23.5818348417,-46.6697164152,41 - Paróquia São Gabriel,41 - Paróquia São Gabriel,15
42,-23.5822318027,-46.6672069622,42 - Hotel Unique,42 - Hotel Unique,23
43,-23.5855232692,-46.6557961107,44 - Pq. Ibirapuera Portão 09,44 - Pq. Ibirapuera Portão 09,11
44,-23.5786981592,-46.6601881481,45 - Marechal Bitencourt,45 - Marechal Bitencourt,23
45,-23.578748203,-46.6634207818,46 - Rua General Fonseca Telles,46 - Rua General Fonseca Telles,11
47,-23.5787313776,-46.6705247776,47 - Suzano,47 - Suzano,11
48,-23.5795039034,-46.6732522005,48 - Itacema,"Rua Itacema, 239",15
49,-23.5815023602,-46.6777671483,49 - Tapinás,Rua Tapinás / esquina com Rua Pedroso Alvarenga,15
50,-23.5825417631,-46.6804310364,50 - Rua Professor Carlos de Carvalho,50 - Rua Professor Carlos de Carvalho,17
51,-23.5770014994,-46.6801882751,51 - Praça Luiz Delben Junior,51 - Praça Luiz Delben Junior,11
53,-23.5871323494,-46.6820977166,53 -Google São Paulo,53 -Google São Paulo,15
54,-23.5732700073,-46.681333784,54 - Colégio Madre Alix,Colégio Madre Alix,11
55,-23.5699246533,-46.6804528505,55 - Jacupiranga,55 - Jacupiranga,11
56,-23.5687276388,-46.6778758266,56 - Atlântica,Atlântica,11
